Starting calculations for AP-MoS2/MoS2
      Step     Time          Energy         fmax
BFGS:   58 16:31:36 -1905596.935616        0.0030
BFGS:   59 16:32:07 -1905596.935623        0.0020
BFGS:   60 16:32:39 -1905596.935630        0.0021
BFGS:   61 16:33:11 -1905596.935637        0.0037
BFGS:   62 16:33:42 -1905596.935646        0.0037
BFGS:   63 16:34:14 -1905596.935653        0.0026
BFGS:   64 16:34:45 -1905596.935658        0.0017
BFGS:   65 16:35:17 -1905596.935663        0.0027
BFGS:   66 16:35:49 -1905596.935668        0.0035
BFGS:   67 16:36:20 -1905596.935674        0.0031
BFGS:   68 16:36:51 -1905596.935678        0.0020
BFGS:   69 16:37:23 -1905596.935682        0.0020
BFGS:   70 16:37:55 -1905596.935685        0.0025
BFGS:   71 16:38:26 -1905596.935689        0.0028
BFGS:   72 16:38:59 -1905596.935693        0.0024
BFGS:   73 16:39:31 -1905596.935696        0.0013
BFGS:   74 16:40:02 -1905596.935698        0.0015
BFGS:   75 16:40:34 -1905596.935701        0.0022
BFGS:   76 16:41:06 -1905596.935704        0.0024
BFGS:   77 16:41:37 -1905596.935706        0.0014
BFGS:   78 16:42:09 -1905596.935708        0.0008
36 36 186 74 112
Combined bilayer energy = -1905596.9357077773
Energy cost per unit length : 0.08509337508394431
Prev_energy - Current_energy = 0.0004413442787030569
      Step     Time          Energy         fmax
BFGS:    0 16:42:09 -1905596.935708        0.1235
BFGS:    1 16:42:40 -1905596.936429        0.0807
BFGS:    2 16:43:11 -1905596.937159        0.0298
BFGS:    3 16:43:42 -1905596.937366        0.0305
BFGS:    4 16:44:14 -1905596.938219        0.0425
BFGS:    5 16:44:46 -1905596.938551        0.0304
BFGS:    6 16:45:18 -1905596.938723        0.0144
BFGS:    7 16:45:49 -1905596.938822        0.0129
BFGS:    8 16:46:21 -1905596.938979        0.0213
BFGS:    9 16:46:56 -1905596.939138        0.0229
BFGS:   10 16:47:27 -1905596.939266        0.0123
BFGS:   11 16:47:58 -1905596.939347        0.0105
BFGS:   12 16:48:30 -1905596.939418        0.0106
BFGS:   13 16:49:03 -1905596.939496        0.0147
BFGS:   14 16:49:33 -1905596.939574        0.0146
BFGS:   15 16:50:05 -1905596.939636        0.0105
BFGS:   16 16:50:37 -1905596.939684        0.0084
BFGS:   17 16:51:11 -1905596.939732        0.0096
BFGS:   18 16:51:44 -1905596.939786        0.0127
BFGS:   19 16:52:16 -1905596.939837        0.0135
BFGS:   20 16:52:48 -1905596.939876        0.0084
BFGS:   21 16:53:19 -1905596.939906        0.0059
BFGS:   22 16:53:51 -1905596.939937        0.0063
BFGS:   23 16:54:24 -1905596.939974        0.0110
BFGS:   24 16:54:55 -1905596.940013        0.0107
BFGS:   25 16:55:27 -1905596.940043        0.0060
BFGS:   26 16:55:59 -1905596.940066        0.0041
BFGS:   27 16:56:31 -1905596.940086        0.0057
BFGS:   28 16:57:03 -1905596.940112        0.0080
BFGS:   29 16:57:35 -1905596.940139        0.0071
BFGS:   30 16:58:07 -1905596.940162        0.0045
BFGS:   31 16:58:39 -1905596.940180        0.0038
BFGS:   32 16:59:11 -1905596.940197        0.0061
BFGS:   33 16:59:43 -1905596.940218        0.0071
BFGS:   34 17:00:14 -1905596.940237        0.0057
BFGS:   35 17:00:46 -1905596.940252        0.0033
BFGS:   36 17:01:17 -1905596.940265        0.0047
BFGS:   37 17:01:50 -1905596.940280        0.0064
BFGS:   38 17:02:22 -1905596.940298        0.0073
BFGS:   39 17:02:54 -1905596.940314        0.0045
BFGS:   40 17:03:27 -1905596.940327        0.0026
BFGS:   41 17:03:57 -1905596.940338        0.0042
BFGS:   42 17:04:30 -1905596.940351        0.0063
BFGS:   43 17:05:03 -1905596.940365        0.0057
BFGS:   44 17:05:36 -1905596.940378        0.0026
BFGS:   45 17:06:08 -1905596.940388        0.0025
BFGS:   46 17:06:40 -1905596.940398        0.0046
BFGS:   47 17:07:13 -1905596.940410        0.0054
BFGS:   48 17:07:46 -1905596.940421        0.0039
BFGS:   49 17:08:18 -1905596.940430        0.0027
BFGS:   50 17:08:51 -1905596.940437        0.0029
BFGS:   51 17:09:22 -1905596.940445        0.0042
BFGS:   52 17:09:55 -1905596.940454        0.0040
BFGS:   53 17:10:27 -1905596.940463        0.0035
BFGS:   54 17:10:59 -1905596.940469        0.0018
BFGS:   55 17:11:32 -1905596.940475        0.0030
BFGS:   56 17:12:05 -1905596.940482        0.0032
BFGS:   57 17:12:36 -1905596.940488        0.0031
BFGS:   58 17:13:09 -1905596.940494        0.0020
BFGS:   59 17:13:43 -1905596.940498        0.0019
BFGS:   60 17:14:15 -1905596.940503        0.0023
BFGS:   61 17:14:47 -1905596.940508        0.0031
BFGS:   62 17:15:20 -1905596.940513        0.0026
BFGS:   63 17:15:52 -1905596.940517        0.0016
BFGS:   64 17:16:23 -1905596.940520        0.0014
BFGS:   65 17:16:55 -1905596.940523        0.0025
BFGS:   66 17:17:26 -1905596.940527        0.0029
BFGS:   67 17:17:58 -1905596.940530        0.0019
BFGS:   68 17:18:29 -1905596.940533        0.0013
BFGS:   69 17:19:02 -1905596.940535        0.0016
BFGS:   70 17:19:33 -1905596.940538        0.0023
BFGS:   71 17:20:05 -1905596.940540        0.0022
BFGS:   72 17:20:37 -1905596.940543        0.0015
BFGS:   73 17:21:09 -1905596.940544        0.0011
BFGS:   74 17:21:40 -1905596.940546        0.0014
BFGS:   75 17:22:12 -1905596.940548        0.0018
BFGS:   76 17:22:43 -1905596.940550        0.0017
BFGS:   77 17:23:13 -1905596.940551        0.0010
BFGS:   78 17:23:45 -1905596.940553        0.0007
36 36 186 74 112
Combined bilayer energy = -1905596.9405526759
Energy cost per unit length : 0.08465443359805534
Prev_energy - Current_energy = 0.0004389414858889662
      Step     Time          Energy         fmax
BFGS:    0 17:23:45 -1905596.940553        0.1194
BFGS:    1 17:24:15 -1905596.941233        0.0783
BFGS:    2 17:24:47 -1905596.941926        0.0296
BFGS:    3 17:25:18 -1905596.942121        0.0303
BFGS:    4 17:25:51 -1905596.942941        0.0421
BFGS:    5 17:26:24 -1905596.943262        0.0304
BFGS:    6 17:26:55 -1905596.943425        0.0139
BFGS:    7 17:27:27 -1905596.943517        0.0121
BFGS:    8 17:27:58 -1905596.943666        0.0212
BFGS:    9 17:28:30 -1905596.943822        0.0235
BFGS:   10 17:29:03 -1905596.943948        0.0127
BFGS:   11 17:29:34 -1905596.944025        0.0098
BFGS:   12 17:30:07 -1905596.944093        0.0105
BFGS:   13 17:30:38 -1905596.944171        0.0151
BFGS:   14 17:31:11 -1905596.944249        0.0135
BFGS:   15 17:31:44 -1905596.944310        0.0103
BFGS:   16 17:32:16 -1905596.944356        0.0075
BFGS:   17 17:32:46 -1905596.944404        0.0107
BFGS:   18 17:33:19 -1905596.944460        0.0120
BFGS:   19 17:33:51 -1905596.944515        0.0139
BFGS:   20 17:34:22 -1905596.944555        0.0093
BFGS:   21 17:34:54 -1905596.944585        0.0061
BFGS:   22 17:35:27 -1905596.944616        0.0070
BFGS:   23 17:35:59 -1905596.944654        0.0118
BFGS:   24 17:36:32 -1905596.944696        0.0126
BFGS:   25 17:37:04 -1905596.944730        0.0071
BFGS:   26 17:37:35 -1905596.944754        0.0044
BFGS:   27 17:38:07 -1905596.944777        0.0064
BFGS:   28 17:38:39 -1905596.944804        0.0100
BFGS:   29 17:39:12 -1905596.944833        0.0086
BFGS:   30 17:39:44 -1905596.944858        0.0044
