Starting calculations for AP-WS2/WS2
      Step     Time          Energy         fmax
BFGS:   33 17:16:57 -2107602.607258        0.0067
BFGS:   34 17:17:30 -2107602.607281        0.0040
BFGS:   35 17:18:02 -2107602.607300        0.0047
BFGS:   36 17:18:35 -2107602.607320        0.0077
BFGS:   37 17:19:08 -2107602.607344        0.0078
BFGS:   38 17:19:40 -2107602.607367        0.0065
BFGS:   39 17:20:13 -2107602.607384        0.0029
BFGS:   40 17:20:46 -2107602.607398        0.0048
BFGS:   41 17:21:18 -2107602.607414        0.0065
BFGS:   42 17:21:50 -2107602.607433        0.0074
BFGS:   43 17:22:22 -2107602.607449        0.0048
BFGS:   44 17:22:55 -2107602.607463        0.0028
BFGS:   45 17:23:27 -2107602.607476        0.0042
BFGS:   46 17:24:00 -2107602.607491        0.0067
BFGS:   47 17:24:32 -2107602.607506        0.0059
BFGS:   48 17:25:04 -2107602.607518        0.0023
BFGS:   49 17:25:38 -2107602.607528        0.0024
BFGS:   50 17:26:11 -2107602.607540        0.0053
BFGS:   51 17:26:44 -2107602.607552        0.0062
BFGS:   52 17:27:18 -2107602.607564        0.0039
BFGS:   53 17:27:52 -2107602.607573        0.0018
BFGS:   54 17:28:25 -2107602.607581        0.0036
BFGS:   55 17:29:00 -2107602.607591        0.0055
BFGS:   56 17:29:33 -2107602.607600        0.0045
BFGS:   57 17:30:06 -2107602.607608        0.0019
BFGS:   58 17:30:37 -2107602.607614        0.0020
BFGS:   59 17:31:10 -2107602.607621        0.0045
BFGS:   60 17:31:42 -2107602.607629        0.0051
BFGS:   61 17:32:15 -2107602.607636        0.0030
BFGS:   62 17:32:47 -2107602.607641        0.0015
BFGS:   63 17:33:19 -2107602.607646        0.0027
BFGS:   64 17:33:53 -2107602.607651        0.0041
BFGS:   65 17:34:25 -2107602.607657        0.0037
BFGS:   66 17:34:58 -2107602.607662        0.0016
BFGS:   67 17:35:30 -2107602.607666        0.0013
BFGS:   68 17:36:03 -2107602.607670        0.0026
BFGS:   69 17:36:35 -2107602.607674        0.0031
BFGS:   70 17:37:08 -2107602.607678        0.0023
BFGS:   71 17:37:41 -2107602.607682        0.0012
BFGS:   72 17:38:13 -2107602.607684        0.0016
BFGS:   73 17:38:46 -2107602.607687        0.0023
BFGS:   74 17:39:19 -2107602.607691        0.0026
BFGS:   75 17:39:53 -2107602.607693        0.0017
BFGS:   76 17:40:25 -2107602.607696        0.0010
BFGS:   77 17:40:57 -2107602.607698        0.0016
BFGS:   78 17:41:30 -2107602.607700        0.0020
BFGS:   79 17:42:03 -2107602.607703        0.0018
BFGS:   80 17:42:37 -2107602.607705        0.0010
36 36 186 74 112
Combined bilayer energy = -2107602.607704533
Energy cost per unit length : 0.08663077952745465
Prev_energy - Current_energy = 0.0006464069723610411
      Step     Time          Energy         fmax
BFGS:    0 17:42:37 -2107602.607705        0.1407
BFGS:    1 17:43:07 -2107602.608658        0.0906
BFGS:    2 17:43:39 -2107602.609620        0.0372
BFGS:    3 17:44:11 -2107602.609932        0.0382
BFGS:    4 17:44:43 -2107602.611109        0.0524
BFGS:    5 17:45:15 -2107602.611594        0.0381
BFGS:    6 17:45:48 -2107602.611837        0.0162
BFGS:    7 17:46:21 -2107602.611973        0.0151
BFGS:    8 17:46:55 -2107602.612189        0.0254
BFGS:    9 17:47:26 -2107602.612417        0.0284
BFGS:   10 17:47:58 -2107602.612600        0.0155
BFGS:   11 17:48:29 -2107602.612717        0.0131
BFGS:   12 17:49:03 -2107602.612821        0.0130
BFGS:   13 17:49:34 -2107602.612938        0.0183
BFGS:   14 17:50:07 -2107602.613047        0.0146
BFGS:   15 17:50:39 -2107602.613127        0.0095
BFGS:   16 17:51:11 -2107602.613195        0.0096
BFGS:   17 17:51:43 -2107602.613273        0.0150
BFGS:   18 17:52:15 -2107602.613363        0.0146
BFGS:   19 17:52:47 -2107602.613438        0.0139
BFGS:   20 17:53:19 -2107602.613489        0.0076
BFGS:   21 17:53:53 -2107602.613531        0.0089
BFGS:   22 17:54:25 -2107602.613583        0.0111
BFGS:   23 17:54:56 -2107602.613647        0.0143
BFGS:   24 17:55:29 -2107602.613706        0.0123
BFGS:   25 17:56:00 -2107602.613747        0.0059
BFGS:   26 17:56:33 -2107602.613781        0.0065
BFGS:   27 17:57:06 -2107602.613819        0.0098
BFGS:   28 17:57:39 -2107602.613864        0.0120
BFGS:   29 17:58:12 -2107602.613905        0.0078
BFGS:   30 17:58:45 -2107602.613938        0.0061
BFGS:   31 17:59:20 -2107602.613968        0.0071
BFGS:   32 17:59:53 -2107602.614003        0.0114
BFGS:   33 18:00:27 -2107602.614039        0.0102
BFGS:   34 18:00:59 -2107602.614069        0.0056
BFGS:   35 18:01:32 -2107602.614093        0.0041
BFGS:   36 18:02:04 -2107602.614118        0.0097
BFGS:   37 18:02:37 -2107602.614149        0.0120
BFGS:   38 18:03:09 -2107602.614180        0.0086
BFGS:   39 18:03:42 -2107602.614204        0.0043
BFGS:   40 18:04:15 -2107602.614224        0.0054
BFGS:   41 18:04:47 -2107602.614246        0.0096
